authors,year,baseline_year,"methodological 
method",title,include_yn,include_why,archive_name,KE,JR,JM,treatment_type,transfer_type,country,LMIC,population,female_share,age_range,age,all_n,treatment_n,control_n,intervention_code,intervention_des,outcome,outcome_category,outcome_negative,outcome_dummy,lumpsum,intervention_value,intervention_type,lumpsun_amount,member_des,member_amount,member_n,month_amount,months_n,duration_month,duration,index_with_components,depression_yn,information_requestes,standarized,t_treatment,treatment_effect,se_treatment_effect,end_mean_con,end_sd_con,end_mean_treatment,end_sd_treatment,bas_mean_treatment,bas_sd_treatment,bas_diff,bas_diff_sd,bas_pval,est_t,bas_mean_con,bas_sd_con,bas_mean_all,bas_sd_all,end_mean_all,end_sd_all,other_outcomes,gender_effects,notes,Assumptions,paper_sample,paper_treatment_effect,paper_standarization,paper_covariates,paper_intervention_value
Haushofer et al.,2020,2011,RCT,Economic and psychological effects of health insurance and cash transfers: Evidence from a randomized experiment in Kenya,Y,,Haushofer_2020,Y,,,Healthcare,In-kind,Kenya,1,metalworkers of the Kamukunji Jua Kali Association,,18+,35,693,206,268,,health insurance provision worth USD 338 PPP plus USD 52 PPP per child beyond the first five,optimism,Optimism,0,,0,338,lumpsum,338,,,,,,12,1 year,0,N,,1,,0.02,0.1,-0.03,1.03,,,,,,,,,,,,,,,"optimism, self-esteem, internal LOC, life satisfaction; other indices: cortisol, insurance ownership, insurance WTP, asset ownership, labor mobility, labor productivity, job risk",N,,Age 35. Needs share of female.,Table D.1.,Table 6,Table 6,-,"Page 3, paragraph 2 and 3"
Haushofer et al.,2020,2011,RCT,Economic and psychological effects of health insurance and cash transfers: Evidence from a randomized experiment in Kenya,Y,,Haushofer_2020,Y,,,Cash Transfer,Unconditional,Kenya,1,metalworkers of the Kamukunji Jua Kali Association,,18+,35,693,219,268,,one-time UCT of USD 338 PPP plus USD 52 PPP for each dependent beyond the first five,optimism,Optimism,0,,1,338,lumpsum,338,,,,,,12,1 year,0,N,,1,,0.15,0.09,-0.03,1.03,,,,,,,,,,,,,,,"optimism, self-esteem, internal LOC, life satisfaction; other indices: cortisol, insurance ownership, insurance WTP, asset ownership, labor mobility, labor productivity, job risk",N,,Age 35. Needs share of female.,Table D.1.,Table 6,Table 6,-,"Page 3, paragraph 2 and 3"
Haushofer et al.,2020,2011,RCT,Economic and psychological effects of health insurance and cash transfers: Evidence from a randomized experiment in Kenya,Y,,Haushofer_2020,Y,,,Healthcare,In-kind,Kenya,1,metalworkers of the Kamukunji Jua Kali Association,,18+,35,693,206,268,,health insurance provision worth USD 338 PPP plus USD 52 PPP per child beyond the first five,self-esteem,Self-Esteem,0,,0,338,lumpsum,338,,,,,,12,1 year,0,N,,1,,-0.02,0.1,-0.05,1.01,,,,,,,,,,,,,,,"optimism, self-esteem, internal LOC, life satisfaction; other indices: cortisol, insurance ownership, insurance WTP, asset ownership, labor mobility, labor productivity, job risk",N,,Age 35. Needs share of female.,Table D.1.,Table 6,Table 6,-,"Page 3, paragraph 2 and 3"
Haushofer et al.,2020,2011,RCT,Economic and psychological effects of health insurance and cash transfers: Evidence from a randomized experiment in Kenya,Y,,Haushofer_2020,Y,,,Cash Transfer,Unconditional,Kenya,1,metalworkers of the Kamukunji Jua Kali Association,,18+,35,693,219,268,,one-time UCT of USD 338 PPP plus USD 52 PPP for each dependent beyond the first five,self-esteem,Self-Esteem,0,,1,338,lumpsum,338,,,,,,12,1 year,0,N,,1,,-0.04,0.09,-0.05,1.01,,,,,,,,,,,,,,,"optimism, self-esteem, internal LOC, life satisfaction; other indices: cortisol, insurance ownership, insurance WTP, asset ownership, labor mobility, labor productivity, job risk",N,,Age 35. Needs share of female.,Table D.1.,Table 6,Table 6,-,"Page 3, paragraph 2 and 3"
Haushofer et al.,2020,2011,RCT,Economic and psychological effects of health insurance and cash transfers: Evidence from a randomized experiment in Kenya,Y,,Haushofer_2020,Y,,,Healthcare,In-kind,Kenya,1,metalworkers of the Kamukunji Jua Kali Association,,18+,35,693,206,268,,health insurance provision worth USD 338 PPP plus USD 52 PPP per child beyond the first five,depression,Depression,1,,0,338,lumpsum,338,,,,,,12,1 year,0,Y,,1,,-0.08,0.1,0.02,1.02,,,,,,,,,,,,,,,"optimism, self-esteem, internal LOC, life satisfaction; other indices: cortisol, insurance ownership, insurance WTP, asset ownership, labor mobility, labor productivity, job risk",N,,Age 35. Needs share of female.,Table D.1.,Table 6,Table 6,-,"Page 3, paragraph 2 and 3"
Haushofer et al.,2020,2011,RCT,Economic and psychological effects of health insurance and cash transfers: Evidence from a randomized experiment in Kenya,Y,,Haushofer_2020,Y,,,Cash Transfer,Unconditional,Kenya,1,metalworkers of the Kamukunji Jua Kali Association,,18+,35,693,219,268,,one-time UCT of USD 338 PPP plus USD 52 PPP for each dependent beyond the first five,depression,Depression,1,,1,338,lumpsum,338,,,,,,12,1 year,0,Y,,1,,-0.07,0.09,0.02,1.02,,,,,,,,,,,,,,,"optimism, self-esteem, internal LOC, life satisfaction; other indices: cortisol, insurance ownership, insurance WTP, asset ownership, labor mobility, labor productivity, job risk",N,,Age 35. Needs share of female.,Table D.1.,Table 6,Table 6,-,"Page 3, paragraph 2 and 3"
Haushofer et al.,2020,2011,RCT,Economic and psychological effects of health insurance and cash transfers: Evidence from a randomized experiment in Kenya,Y,,Haushofer_2020,Y,,,Healthcare,In-kind,Kenya,1,metalworkers of the Kamukunji Jua Kali Association,,18+,35,693,206,268,,health insurance provision worth USD 338 PPP plus USD 52 PPP per child beyond the first five,life satisfaction,Happiness or Satisfaction,0,,0,338,lumpsum,338,,,,,,12,1 year,0,N,,1,,0.05,0.1,-0.02,1.01,,,,,,,,,,,,,,,"optimism, self-esteem, internal LOC, life satisfaction; other indices: cortisol, insurance ownership, insurance WTP, asset ownership, labor mobility, labor productivity, job risk",N,,Age 35. Needs share of female.,Table D.1.,Table 6,Table 6,-,"Page 3, paragraph 2 and 3"
Haushofer et al.,2020,2011,RCT,Economic and psychological effects of health insurance and cash transfers: Evidence from a randomized experiment in Kenya,Y,,Haushofer_2020,Y,,,Cash Transfer,Unconditional,Kenya,1,metalworkers of the Kamukunji Jua Kali Association,,18+,35,693,219,268,,one-time UCT of USD 338 PPP plus USD 52 PPP for each dependent beyond the first five,life satisfaction,Happiness or Satisfaction,0,,1,338,lumpsum,338,,,,,,12,1 year,0,N,,1,,0.03,0.1,-0.02,1.01,,,,,,,,,,,,,,,"optimism, self-esteem, internal LOC, life satisfaction; other indices: cortisol, insurance ownership, insurance WTP, asset ownership, labor mobility, labor productivity, job risk",N,,Age 35. Needs share of female.,Table D.1.,Table 6,Table 6,-,"Page 3, paragraph 2 and 3"
Haushofer et al.,2020,2011,RCT,Economic and psychological effects of health insurance and cash transfers: Evidence from a randomized experiment in Kenya,Y,,Haushofer_2020,Y,,,Healthcare,In-kind,Kenya,1,metalworkers of the Kamukunji Jua Kali Association,,18+,35,693,206,268,,health insurance provision worth USD 338 PPP plus USD 52 PPP per child beyond the first five,happiness,Happiness or Satisfaction,0,,0,338,lumpsum,338,,,,,,12,1 year,0,N,,1,,0.01,0.09,0.01,1.05,,,,,,,,,,,,,,,"optimism, self-esteem, internal LOC, life satisfaction; other indices: cortisol, insurance ownership, insurance WTP, asset ownership, labor mobility, labor productivity, job risk",N,,Age 35. Needs share of female.,Table D.1.,Table 6,Table 6,-,"Page 3, paragraph 2 and 3"
Haushofer et al.,2020,2011,RCT,Economic and psychological effects of health insurance and cash transfers: Evidence from a randomized experiment in Kenya,Y,,Haushofer_2020,Y,,,Cash Transfer,Unconditional,Kenya,1,metalworkers of the Kamukunji Jua Kali Association,,18+,35,693,219,268,,one-time UCT of USD 338 PPP plus USD 52 PPP for each dependent beyond the first five,happiness,Happiness or Satisfaction,0,,1,338,lumpsum,338,,,,,,12,1 year,0,N,,1,,0.02,0.09,0.01,1.05,,,,,,,,,,,,,,,"optimism, self-esteem, internal LOC, life satisfaction; other indices: cortisol, insurance ownership, insurance WTP, asset ownership, labor mobility, labor productivity, job risk",N,,Age 35. Needs share of female.,Table D.1.,Table 6,Table 6,-,"Page 3, paragraph 2 and 3"
Haushofer et al.,2020,2017,RCT,The Comparative Impact of Cash Transfers and Psychotherapy on Psychological and Economic Well-being,Y,,haushofer_kenya_20,,Y,,Cash Transfer,Unconditional,Kenya,1,rural population,64%,Adults under 75,45,2140,521,1619,,,psychological wellbeing,Happiness or Satisfaction,0,,1,485,,,,,,,,12,1 year,1,N,,1,,0.23,0.06,0,1,,,,,,,,,,,,,,,,,,,Figure 1,Table 2,already standardized,Table 1,"Page 2, paragraph 2"
Haushofer et al.,2020,2017,RCT,The Comparative Impact of Cash Transfers and Psychotherapy on Psychological and Economic Well-being,Y,,haushofer_kenya_20,,Y,,Cash Transfer,Unconditional,Kenya,1,rural population,64%,Adults under 75,45,2140,521,1619,,,mental health (GHQ-12),Depression,1,,1,485,,,,,,,,12,1 year,0,N,,1,,-0.16,0.06,0,1,,,,,,,,,,,,,,,,,,,Figure 1,Table 7,already standardized,Table 1,"Page 2, paragraph 2"
Haushofer et al.,2020,2017,RCT,The Comparative Impact of Cash Transfers and Psychotherapy on Psychological and Economic Well-being,Y,,haushofer_kenya_20,,Y,,Cash Transfer,Unconditional,Kenya,1,rural population,64%,Adults under 75,45,2140,521,1619,,,Cohen (PSS) Stress,Stress,1,,1,485,,,,,,,,12,1 year,0,N,,1,,-0.16,0.05,0,1,,,,,,,,,,,,,,,,,,,Figure 1,Table 7,already standardized,Table 1,"Page 2, paragraph 2"
Haushofer et al.,2020,2017,RCT,The Comparative Impact of Cash Transfers and Psychotherapy on Psychological and Economic Well-being,Y,,haushofer_kenya_20,,Y,,Cash Transfer,Unconditional,Kenya,1,rural population,64%,Adults under 75,45,2140,521,1619,,,happiness,Happiness or Satisfaction,0,,1,485,,,,,,,,12,1 year,0,N,,1,,0.19,0.06,0,1,,,,,,,,,,,,,,,,,,,Figure 1,Table 7,already standardized,Table 1,"Page 2, paragraph 2"
Haushofer et al.,2020,2017,RCT,The Comparative Impact of Cash Transfers and Psychotherapy on Psychological and Economic Well-being,Y,,haushofer_kenya_20,,Y,,Cash Transfer,Unconditional,Kenya,1,rural population,64%,Adults under 75,45,2140,521,1619,,,life satisfaction,Happiness or Satisfaction,0,,1,485,,,,,,,,12,1 year,0,N,,1,,0.21,0.09,0,1,,,,,,,,,,,,,,,,,,,Figure 1,Table 7,already standardized,Table 1,"Page 2, paragraph 2"
Haushofer et al.,2020,2017,RCT,The Comparative Impact of Cash Transfers and Psychotherapy on Psychological and Economic Well-being,Y,,haushofer_kenya_20,,Y,,Cash Transfer,Unconditional,Kenya,1,rural population,64%,Adults under 75,45,2140,521,1619,,,Intimate Partner Violence Index,None,0,,1,485,,,,,,,,12,1 year,0,N,,1,,-0.05,0.08,0,1,,,,,,,,,,,,,,,,,IPV can be broken down,,Figure 1,Table 2,already standardized,Table 1,"Page 2, paragraph 2"
Heath et al.,2020,2014,RCT,"Cash transfers, polygamy, and intimate partner violence: Experimental evidence from Mali",Y,,heath_20,,Y,,Cash Transfer,Unconditional,Mali,1,household had a child aged 6–23 months - all - male spouse,0%,"Adults, average age 32",32,2446,1143,1303,,"The CT was valued at 10,000 FCFA per month scheduled to be paid
every quarter over a 3-year period (the equivalent of USD 18.02/month,
or 9 percent of beneficiary household’s monthly consumption). to women",Standardized stress index,Stress,1,,0,324,,,,,,,,18,18 months,0,N,,1,,-0.193,0.118,,,,,,,,,,,,,,,,,,,overall mean control estimated with poly / monogamous. estimated duration,,Table 7,Table 7,already standardized,Table 1,"Page 3, last paragraph"
Heath et al.,2020,2014,RCT,"Cash transfers, polygamy, and intimate partner violence: Experimental evidence from Mali",Y,,heath_20,,Y,,Cash Transfer,Unconditional,Mali,1,household hat had a child aged 6–23 months - polygamous - male spuse,0%,"Adults, average age 32",32,937,429,508,,"The CT was valued at 10,000 FCFA per month scheduled to be paid
every quarter over a 3-year period (the equivalent of USD 18.02/month,
or 9 percent of beneficiary household’s monthly consumption). to women",Standardized stress index,Stress,1,,0,324,,,,,,,,18,18 months,0,N,,1,,-0.263,0.138,,,,,,,,,,,,,,,,,,,overall mean control estimated with poly / monogamous. estimated duration,,Table 7,Table 7,already standardized,Table 1,"Page 3, last paragraph"
Heath et al.,2020,2014,RCT,"Cash transfers, polygamy, and intimate partner violence: Experimental evidence from Mali",Y,,heath_20,,Y,,Cash Transfer,Unconditional,Mali,1,houseohld hat had a child aged 6–23 months - monogamous- male spouse,0%,"Adults, average age 32",32,1509,714,795,,"The CT was valued at 10,000 FCFA per month scheduled to be paid
every quarter over a 3-year period (the equivalent of USD 18.02/month,
or 9 percent of beneficiary household’s monthly consumption). to women",Standardized stress index,Stress,1,,0,324,,,,,,,,18,18 months,0,N,,1,,-0.166,0.133,,,,,,,,,,,,,,,,,,,overall mean control estimated with poly / monogamous. estimated duration,,Table 7,Table 7,already standardized,Table 1,"Page 3, last paragraph"
Heath et al.,2020,2014,RCT,"Cash transfers, polygamy, and intimate partner violence: Experimental evidence from Mali",Y,,heath_20,,Y,,Cash Transfer,Unconditional,Mali,1,household had a child aged 6–23 months - all - male spouse,0%,"Adults, average age 32",32,2446,1143,1303,,"The CT was valued at 10,000 FCFA per month scheduled to be paid
every quarter over a 3-year period (the equivalent of USD 18.02/month,
or 9 percent of beneficiary household’s monthly consumption). to women",Perceived stress scale (0–40),Stress,1,,0,324,,,,,,,,18,18 months,0,N,,0,,-1.375,0.81,15.867,0.541,,,,,,,,,,,,,,,,,overall mean control estimated with poly / monogamous. estimated duration,,Table 7,Table 7,Table 7,Table 1,"Page 3, last paragraph"
Heath et al.,2020,2014,RCT,"Cash transfers, polygamy, and intimate partner violence: Experimental evidence from Mali",Y,,heath_20,,Y,,Cash Transfer,Unconditional,Mali,1,household hat had a child aged 6–23 months - polygamous - male spuse,0%,"Adults, average age 32",32,937,429,508,,"The CT was valued at 10,000 FCFA per month scheduled to be paid
every quarter over a 3-year period (the equivalent of USD 18.02/month,
or 9 percent of beneficiary household’s monthly consumption). to women",Perceived stress scale (0–40),Stress,1,,0,324,,,,,,,,18,18 months,0,N,,0,,-1.75,0.896,15.824,0.589,,,,,,,,,,,,,,,,,overall mean control estimated with poly / monogamous. estimated duration,,Table 7,Table 7,Table 7,Table 1,"Page 3, last paragraph"
Heath et al.,2020,2014,RCT,"Cash transfers, polygamy, and intimate partner violence: Experimental evidence from Mali",Y,,heath_20,,Y,,Cash Transfer,Unconditional,Mali,1,household hat had a child aged 6–23 months - monogamous- male spouse,0%,"Adults, average age 32",32,1509,714,795,,"The CT was valued at 10,000 FCFA per month scheduled to be paid
every quarter over a 3-year period (the equivalent of USD 18.02/month,
or 9 percent of beneficiary household’s monthly consumption). to women",Perceived stress scale (0–40),Stress,1,,0,324,,,,,,,,18,18 months,0,N,,0,,-1.296,0.922,15.935,0.457,,,,,,,,,,,,,,,,,overall mean control estimated with poly / monogamous. estimated duration,,Table 7,Table 7,Table 7,Table 1,"Page 3, last paragraph"
Heath et al.,2020,2014,RCT,"Cash transfers, polygamy, and intimate partner violence: Experimental evidence from Mali",Y,,heath_20,,Y,,Cash Transfer,Unconditional,Mali,1,household had a child aged 6–23 months - all - male spouse,0%,"Adults, average age 32",32,2446,1143,1303,,"The CT was valued at 10,000 FCFA per month scheduled to be paid
every quarter over a 3-year period (the equivalent of USD 18.02/month,
or 9 percent of beneficiary household’s monthly consumption). to women",Anxiety (worry) index,Anxiety,1,,0,324,,,,,,,,18,18 months,0,N,,0,,-0.274,0.105,0.167,0.089,,,,,,,,,,,,,,,,,overall mean control estimated with poly / monogamous. estimated duration,,Table 7,Table 7,Table 7,Table 1,"Page 3, last paragraph"
Heath et al.,2020,2014,RCT,"Cash transfers, polygamy, and intimate partner violence: Experimental evidence from Mali",Y,,heath_20,,Y,,Cash Transfer,Unconditional,Mali,1,household hat had a child aged 6–23 months - polygamous - male spuse,0%,"Adults, average age 32",32,937,429,508,,"The CT was valued at 10,000 FCFA per month scheduled to be paid
every quarter over a 3-year period (the equivalent of USD 18.02/month,
or 9 percent of beneficiary household’s monthly consumption). to women",Anxiety (worry) index,Anxiety,1,,0,324,,,,,,,,18,18 months,0,N,,0,,-0.363,0.138,0.206,0.096,,,,,,,,,,,,,,,,,overall mean control estimated with poly / monogamous. estimated duration,,Table 7,Table 7,Table 7,Table 1,"Page 3, last paragraph"
Heath et al.,2020,2014,RCT,"Cash transfers, polygamy, and intimate partner violence: Experimental evidence from Mali",Y,,heath_20,,Y,,Cash Transfer,Unconditional,Mali,1,household hat had a child aged 6–23 months - monogamous- male spouse,0%,"Adults, average age 32",32,1509,714,795,,"The CT was valued at 10,000 FCFA per month scheduled to be paid
every quarter over a 3-year period (the equivalent of USD 18.02/month,
or 9 percent of beneficiary household’s monthly consumption). to women",Anxiety (worry) index,Anxiety,1,,0,324,,,,,,,,18,18 months,0,N,,0,,-0.212,0.11,0.105,0.077,,,,,,,,,,,,,,,,,overall mean control estimated with poly / monogamous. estimated duration,,Table 7,Table 7,Table 7,Table 1,"Page 3, last paragraph"
Heath et al.,2020,2014,RCT,"Cash transfers, polygamy, and intimate partner violence: Experimental evidence from Mali",Y,,heath_20,,Y,,Cash Transfer,Unconditional,Mali,1,household had a child aged 6–23 months - all - male spouse,0%,"Adults, average age 32",32,2446,1143,1303,,"The CT was valued at 10,000 FCFA per month scheduled to be paid
every quarter over a 3-year period (the equivalent of USD 18.02/month,
or 9 percent of beneficiary household’s monthly consumption). to women",Low self esteem index,Self-Esteem,1,,0,324,,,,,,,,18,18 months,0,N,,1,,-0.142,0.091,,,,,,,,,,,,,,,,,,,overall mean control estimated with poly / monogamous. estimated duration,,Table 7,Table 7,Table 7,Table 1,"Page 3, last paragraph"
Heath et al.,2020,2014,RCT,"Cash transfers, polygamy, and intimate partner violence: Experimental evidence from Mali",Y,,heath_20,,Y,,Cash Transfer,Unconditional,Mali,1,household hat had a child aged 6–23 months - polygamous - male spuse,0%,"Adults, average age 32",32,937,429,508,,"The CT was valued at 10,000 FCFA per month scheduled to be paid
every quarter over a 3-year period (the equivalent of USD 18.02/month,
or 9 percent of beneficiary household’s monthly consumption). to women",Low self esteem index,Self-Esteem,1,,0,324,,,,,,,,18,18 months,0,N,,0,,-0.213,0.144,-0.008,0.106,,,,,,,,,,,,,,,,,overall mean control estimated with poly / monogamous. estimated duration,,Table 7,Table 7,Table 7,Table 1,"Page 3, last paragraph"
Heath et al.,2020,2014,RCT,"Cash transfers, polygamy, and intimate partner violence: Experimental evidence from Mali",Y,,heath_20,,Y,,Cash Transfer,Unconditional,Mali,1,houseohld hat had a child aged 6–23 months - monogamous- male spouse,0%,"Adults, average age 32",32,1509,714,795,,"The CT was valued at 10,000 FCFA per month scheduled to be paid
every quarter over a 3-year period (the equivalent of USD 18.02/month,
or 9 percent of beneficiary household’s monthly consumption). to women",Low self esteem index,Self-Esteem,1,,0,324,,,,,,,,18,18 months,0,N,,0,,-0.104,0.096,-0.108,0.082,,,,,,,,,,,,,,,,,overall mean control estimated with poly / monogamous. estimated duration,,Table 7,Table 7,Table 7,Table 1,"Page 3, last paragraph"
Hjelm et. al,2017,2010,RCT,Poverty and perceived stress: Evidence from two unconditional cash transfer programs in Zambia,Y,,hjelm_17,,Y,,Cash Transfer,Unconditional,Zambia,1,poor households with a child under the age of five.,100%,Mothers on average 49 years old,29.79,2273,1146,1127,,USD 11 per month,stress,Stress,1,,0,396,,,,,,11,36,36,36 months,0,N,,0,,0.07,0.333,7.6,4.2,,,,,,,,,,,,,,,,,,,Table 2 with proportion of Table 1,Table 2,Table 2,Table 1,"Page 112, paragraph 1"
Hjelm et. al,2017,2010,RCT,Poverty and perceived stress: Evidence from two unconditional cash transfer programs in Zambia,Y,,hjelm_17,,Y,,Cash Transfer,Unconditional,Zambia,1,poor households,100%,Mothers on average 49 years old,51.62,2490,1236,1254,,USD 11 per month,stress,Stress,1,,0,396,,,,,,11,36,36,36 months,0,N,,0,,-0.42,0.359,9.92,4.73,,,,,,,,,,,,,,,,,,,Table 2 with proportion of Table 1,Table 2,Table 2,Table 1,"Page 112, paragraph 1"
